0.853333333,1.2
1.933333333,1.3
3.064291667,1.4
4.093333333,2.1
5.200000000,2.2
6.293333333,2.3
7.346666667,2.4
8.320520833,3.1
9.304812500,3.2
10.375375000,3.3
11.510375000,3.4
12.491625000,4.1
13.540145833,4.2
14.590229167,4.3
15.624458333,4.4
16.720000000,5.1
17.750187500,5.2
18.643979167,5.3
19.663125000,5.4
20.629979167,6.1
21.543000000,6.2
22.554812500,6.3
23.623770833,6.4
24.654083333,7.1
25.652770833,7.2
26.684395833,7.3
27.706604167,7.4
28.858666667,8.1
29.850395833,8.2
30.924166667,8.3
32.113250000,8.4
33.207270833,9.1
34.248145833,9.2
35.280145833,9.3
36.346437500,9.4
37.626666667,10.1
38.564770833,10.2
39.553729167,10.3
40.589750000,10.4
41.636416667,11.1
42.716041667,11.2
43.716895833,11.3
44.778750000,11.4
45.810979167,12.1
46.843625000,12.2
47.927458333,12.3
49.000625000,12.4
50.065645833,13.1
51.213333333,13.2
52.253875000,13.3
53.284166667,13.4
54.437604167,14.1
55.452958333,14.2
56.461979167,14.3
57.456937500,14.4
58.480000000,15.1
59.451229167,15.2
60.538270833,15.3
61.580020833,15.4
62.666666667,16.1
63.666666667,16.2
64.673375000,16.3
65.683291667,16.4
66.893333333,17.1
67.875479167,17.2
68.881125000,17.3
70.213333333,17.4
71.434062500,18.1
72.690437500,18.2
74.088000000,18.3
75.440000000,18.4
76.701333333,19.1
77.995333333,19.2
